id,name_en,name_zh,city,lon,lat,day,visit_order,priority,cat_id,cat_name,status_id,status_name,detour,half_day,notes
27,Hongya Cave,洪崖洞,Chongqing,106.5737,29.5588,9,22,1,3,Temple/Heritage,1,Confirmed,0,2,"Riverside stilt district. Dramatic at night, lit up 11 stories down the cliff."
28,Ciqikou Old Town,磁器口,Chongqing,106.4543,29.5645,9,23,2,3,Temple/Heritage,1,Confirmed,0,1,"Ming/Qing dynasty old street. Good food stalls. 30 min by metro."
29,Liziba Metro Station,李子坝轻轨站,Chongqing,106.5147,29.5578,9,0,3,5,Activity,2,Optional,0,2,"Line 2 train runs through an apartment building. Worth seeing."
30,Chongqing Hot Pot,重庆火锅,Chongqing,106.5516,29.5630,9,24,1,6,Food/Market,1,Confirmed,0,2,"The real Sichuan hot pot. Non-negotiable. Ask hostel for a local place."
31,Dazu Rock Carvings,大足石刻,Chongqing,105.7136,29.6886,0,0,2,3,Temple/Heritage,2,Optional,1,0,"UNESCO Buddhist rock carvings. 2h from Chongqing. Requires dedicated half-day detour."
32,Giant Panda Base,大熊猫繁育研究基地,Chengdu,104.1394,30.7367,10,25,1,2,Nature,1,Confirmed,0,1,"Go 7–8am for feeding. Book ticket online (¥58). Wear neutral colours."
33,Leshan Giant Buddha,乐山大佛,Chengdu,103.7716,29.5443,10,26,1,3,Temple/Heritage,1,Confirmed,0,0,"71m stone Buddha carved into cliff. Boat ride gives best full-body view. Train 40min from Chengdu."
34,Sanxingdui Museum,三星堆博物馆,Chengdu,104.0867,31.0264,0,0,1,4,Museum,3,Missed/NextTrip,0,0,"Bronze Age masks from an independent civilisation. New museum 2023. Unlike anything else in China."
35,Wenshu Monastery,文殊院,Chengdu,104.0630,30.6695,10,0,2,3,Temple/Heritage,2,Optional,0,1,"Tang dynasty Buddhist monastery in city centre. Peaceful. Free."
36,Wide and Narrow Alleys,宽窄巷子,Chengdu,104.0456,30.6700,10,0,3,3,Temple/Heritage,2,Optional,0,1,"Qing dynasty lanes, now restaurants and teahouses. Touristy but pleasant evening walk."
37,Jinli Ancient Street,锦里,Chengdu,104.0514,30.6436,10,0,3,6,Food/Market,2,Optional,0,1,"Han dynasty-style street with snacks and lanterns. Good for an evening walk."
38,Five Colour Lake,五彩池,Jiuzhaigou,103.9200,33.2100,12,30,1,2,Nature,1,Confirmed,0,0,"Impossibly turquoise lake. The single most photographed spot in Jiuzhaigou."
39,Long Lake,长海,Jiuzhaigou,103.9167,33.2667,12,29,1,2,Nature,1,Confirmed,0,0,"Deepest lake in the valley. Stunning reflections. Go early morning."
40,Nuorilang Waterfall,诺日朗瀑布,Jiuzhaigou,103.9167,33.1667,11,28,1,2,Nature,1,Confirmed,0,0,"Widest high-altitude waterfall in China. Impressive volume."
41,Pearl Shoal Waterfall,珍珠滩瀑布,Jiuzhaigou,103.9100,33.1900,12,31,1,2,Nature,1,Confirmed,0,0,"Wide shallow waterfall over coloured mineral bed. Very photogenic."
42,Shuzheng Lakes Trail,树正群海,Jiuzhaigou,103.9200,33.1700,11,27,1,2,Nature,1,Confirmed,0,0,"String of lakes connected by boardwalks. Best intro to the valley on Day 1."
43,Mirror Lake,镜海,Jiuzhaigou,103.9150,33.2000,12,32,2,2,Nature,1,Confirmed,0,0,"Perfectly still lake. Perfect reflections of forest and sky."
44,Huanglong Calcified Pools,黄龙钙华彩池,Jiuzhaigou,103.8187,32.7507,0,0,2,2,Nature,3,Missed/NextTrip,1,0,"UNESCO travertine terraces at 3500m. 2h from Jiuzhaigou. Best on a longer trip."
45,Victoria Harbour,维多利亚港,Hong Kong,114.1722,22.2975,13,35,1,1,City/Skyline,1,Confirmed,0,2,"The HK postcard. Best at dusk. Light show 8pm."
46,Victoria Peak,太平山顶,Hong Kong,114.1455,22.2759,13,36,1,1,City/Skyline,1,Confirmed,0,1,"Tram up, panoramic harbour view. Night view is spectacular. Essential."
47,Star Ferry,天星小轮,Hong Kong,114.1688,22.2930,13,37,1,5,Activity,1,Confirmed,0,2,"HK$3. Best 5 minutes in Hong Kong. Kowloon→Central crossing."
48,Man Mo Temple,文武庙,Hong Kong,114.1503,22.2843,14,39,2,3,Temple/Heritage,1,Confirmed,0,2,"1847 Taoist temple. Incense coils hanging from ceiling. Hollywood Road."
49,Temple Street Night Market,庙街,Hong Kong,114.1708,22.3117,13,38,2,6,Food/Market,1,Confirmed,0,2,"Kowloon street market. Street food, fortune tellers, trinkets."
50,Wong Tai Sin Temple,黄大仙祠,Hong Kong,114.1934,22.3427,0,0,2,3,Temple/Heritage,2,Optional,0,1,"Colourful Taoist temple. Locals come for fortune telling. Metro accessible."
51,Tian Tan Buddha (Lantau),天坛大佛,Hong Kong,113.9055,22.2540,0,0,3,3,Temple/Heritage,2,Optional,1,0,"Giant outdoor Buddha on Lantau Island. Cable car up. Half-day trip."
52,Chi Lin Nunnery,志莲净苑,Hong Kong,114.2013,22.3347,0,0,3,3,Temple/Heritage,2,Optional,0,1,"Tang dynasty-style wooden Buddhist nunnery. Nan Lian Garden adjacent. Free."
101,Shanghai Pudong Airport,上海浦东国际机场,Shanghai,121.8047,31.1443,1,1,1,7,Transport,1,Confirmed,0,0,"Arrival hub (PVG) Day 1; also departure Day 14."
102,Shanghai Hongqiao Station,上海虹桥站,Shanghai,121.3214,31.1946,2,8,2,7,Transport,1,Confirmed,0,0,"Evening departure for Guilin G-train (~7h)."
103,Zhujiang Pier,竹江码头,Guilin,110.0897,25.0628,4,11,1,7,Transport,1,Confirmed,0,0,"Li River cruise departs 9am; 26km south of Guilin city."
104,Jiuhuang Airport,九黄机场,Jiuzhaigou,103.6822,32.8533,11,33,2,7,Transport,1,Confirmed,0,0,"Fly Chengdu Tianfu → Jiuhuang (45 min); check in 1.5h early."
105,Guangzhou South Station,广州南站,Guangzhou,113.2672,22.9753,13,34,2,7,Transport,1,Confirmed,0,0,"Transit: fly Jiuhuang → Guangzhou → train to HK West Kowloon (1h)."
